AA70	AA70	20
AA71	AA76	10
AA77	AA79	00
AA7A	AA7A	10
AA7B	AA7B	00
AA7C	AA7C	01
AA7D	AA7D	00
AA7E	AAAF	10
AAB0	AAB0	01
AAB1	AAB1	10
AAB2	AAB4	01
AAB5	AAB6	10
AAB7	AAB8	01
AAB9	AABD	10
AABE	AABF	01
AAC0	AAC0	10
AAC1	AAC1	01
AAC2	AAC2	10
AAC3	AADA	00
AADB	AADC	10
AADD	AADD	20
AADE	AADF	00
AAE0	AAEA	10
AAEB	AAEB	00
AAEC	AAED	01
AAEE	AAF1	00
AAF2	AAF2	10
AAF3	AAF4	20
AAF5	AAF5	00
AAF6	AAF6	01
AAF7	AB00	00
AB01	AB06	10
AB07	AB08	00
AB09	AB0E	10
AB0F	AB10	00
AB11	AB16	10
AB17	AB1F	00
AB20	AB26	10
AB27	AB27	00
AB28	AB2E	10
AB2F	AB2F	00
AB30	AB5A	20
AB5B	AB5B	00
AB5C	AB69	20
AB6A	AB6F	00
AB70	ABBF	20
ABC0	ABE2	10
ABE3	ABE4	00
ABE5	ABE5	01
ABE6	ABE7	00
ABE8	ABE8	01
ABE9	ABEC	00
ABED	ABED	01
ABEE	ABEF	00
ABF0	ABF9	02
ABFA	ABFF	00
AC00	D7A3	10
D7A4	D7AF	00
D7B0	D7C6	10
D7C7	D7CA	00
D7CB	D7FB	10
D7FC	F8FF	00
F900	FA6D	10
FA6E	FA6F	00
FA70	FAD9	10
FADA	FAFF	00
FB00	FB06	20
FB07	FB12	00
FB13	FB17	20
FB18	FB1C	00
FB1D	FB1D	10
FB1E	FB1E	01
FB1F	FB28	10
FB29	FB29	00
FB2A	FB36	10
FB37	FB37	00
FB38	FB3C	10
FB3D	FB3D	00
FB3E	FB3E	10
FB3F	FB3F	00
FB40	FB41	10
FB42	FB42	00
FB43	FB44	10
FB45	FB45	00
FB46	FBB1	10
FBB2	FBD2	00
FBD3	FD3D	10
FD3E	FD4F	00
FD50	FD8F	10
FD90	FD91	00
FD92	FDC7	10
FDC8	FDEF	00
FDF0	FDFB	10
FDFC	FDFF	00
FE00	FE0F	01
FE10	FE1F	00
FE20	FE2F	01
FE30	FE6F	00
FE70	FE74	10
FE75	FE75	00
FE76	FEFC	10
FEFD	FF0F	00
FF10	FF19	02
FF1A	FF20	00
FF21	FF3A	20
FF3B	FF40	00
FF41	FF5A	20
FF5B	FF65	00
FF66	FF6F	10
FF70	FF70	20
FF71	FF9D	10
FF9E	FF9F	20
FFA0	FFBE	10
FFBF	FFC1	00
FFC2	FFC7	10
FFC8	FFC9	00
FFCA	FFCF	10
FFD0	FFD1	00
FFD2	FFD7	10
FFD8	FFD9	00
FFDA	FFDC	10
FFDD	FFFF	00
